Dataset,Model,Accuracy,Params,RAM (MB)
Credit Risk,Custom,0.7259946156147173,418,0.00159454345703125
Credit Risk,LLM,0.7289859407717619,418,0.00159454345703125
Credit Risk,PyTorch,0.6129225246784326,418,0.00159454345703125
Congressional Voting,Custom,0.9130434782608695,610,0.00232696533203125
Congressional Voting,LLM,0.9130434782608695,610,0.00232696533203125
Congressional Voting,PyTorch,0.8260869565217391,610,0.00232696533203125
